1.220: [GC 331K->331K(662K), 0.000708 secs]
1.257: [GC 662K->662K(993K), 0.000490 secs]
1.279: [GC 993K->993K(1325K), 0.000408 secs]
1.298: [GC 1325K->1325K(1656K), 0.000415 secs]
1.319: [GC 1656K->1656K(1987K), 0.000405 secs]
1.340: [GC 1987K->1987K(2319K), 0.000406 secs]
1.360: [GC 2319K->2319K(2650K), 0.000406 secs]
1.380: [GC 2650K->2650K(2981K), 0.000410 secs]
1.401: [GC 2981K->2981K(3313K), 0.000447 secs]
1.422: [GC 3313K->3313K(3644K), 0.000430 secs]
1.446: [GC 3644K->3644K(3975K), 0.000683 secs]
1.485: [GC 3975K->3975K(4306K), 0.000681 secs]
1.515: [GC 4306K->4306K(4638K), 0.000416 secs]
1.534: [GC 4638K->4638K(4969K), 0.000407 secs]
1.554: [GC 4969K->4969K(5300K), 0.000405 secs]
1.574: [GC 5300K->5300K(5632K), 0.000427 secs]
1.593: [GC 5632K->5632K(5963K), 0.000405 secs]
1.612: [GC 5963K->5963K(6294K), 0.000401 secs]
1.631: [GC 6294K->6294K(6626K), 0.000477 secs]
1.650: [GC 6626K->6626K(6957K), 0.000400 secs]
1.683: [GC 6957K->6957K(7288K), 0.000671 secs]
1.718: [GC 7288K->7288K(7619K), 0.000491 secs]
1.739: [GC 7619K->7619K(7951K), 0.000401 secs]
1.758: [GC 7951K->7951K(8282K), 0.000400 secs]
1.776: [GC 8282K->8282K(8613K), 0.000404 secs]
1.795: [GC 8613K->8613K(8945K), 0.000414 secs]
1.813: [GC 8945K->8945K(9276K), 0.000395 secs]
1.831: [GC 9276K->9276K(9607K), 0.000396 secs]
1.849: [GC 9607K->9607K(9939K), 0.000395 secs]
1.868: [GC 9939K->9939K(10270K), 0.000409 secs]
1.888: [GC 10270K->10270K(10601K), 0.000409 secs]
1.926: [GC 10601K->10601K(10932K), 0.000686 secs]
1.962: [GC 10932K->10932K(11264K), 0.000462 secs]
1.984: [GC 11264K->11264K(11595K), 0.000402 secs]
2.004: [GC 11595K->11595K(11926K), 0.000390 secs]
2.024: [GC 11926K->11926K(12258K), 0.000393 secs]
2.043: [GC 12258K->12258K(12589K), 0.000398 secs]
2.063: [GC 12589K->12589K(12920K), 0.000394 secs]
2.082: [GC 12920K->12920K(13252K), 0.000410 secs]
2.101: [GC 13252K->13252K(13583K), 0.000436 secs]
2.121: [GC 13583K->13583K(13914K), 0.000377 secs]
2.146: [GC 13914K->13914K(14245K), 0.000671 secs]
2.184: [GC 14245K->14245K(14577K), 0.000669 secs]
2.212: [GC 14577K->14577K(14908K), 0.000402 secs]
2.231: [GC 14908K->14908K(15239K), 0.000407 secs]
2.251: [GC 15239K->15239K(15571K), 0.000383 secs]
2.272: [GC 15571K->15571K(15902K), 0.000426 secs]
2.292: [GC 15902K->15902K(16233K), 0.000395 secs]
2.312: [GC 16233K->16233K(16565K), 0.000393 secs]
2.331: [GC 16565K->16565K(16896K), 0.000423 secs]
2.351: [GC 16896K->16896K(17227K), 0.000395 secs]
2.377: [GC 17227K->17227K(17558K), 0.000670 secs]
2.416: [GC 17558K->17558K(17890K), 0.000679 secs]
2.444: [GC 17890K->17890K(18221K), 0.000398 secs]
2.463: [GC 18221K->18221K(18552K), 0.000393 secs]
2.483: [GC 18552K->18552K(18884K), 0.000401 secs]
2.502: [GC 18884K->18884K(19215K), 0.000439 secs]
2.520: [GC 19215K->19215K(19546K), 0.000394 secs]
2.539: [GC 19546K->19546K(19878K), 0.000392 secs]
2.558: [GC 19878K->19878K(20209K), 0.000391 secs]
2.576: [GC 20209K->20209K(20540K), 0.000398 secs]
2.596: [GC 20540K->20540K(20871K), 0.000400 secs]
2.620: [GC 20871K->20871K(21203K), 0.000665 secs]
2.660: [GC 21203K->21203K(21534K), 0.000691 secs]
2.688: [GC 21534K->21534K(21865K), 0.000413 secs]
2.708: [GC 21865K->21865K(22197K), 0.000421 secs]
2.728: [GC 22197K->22197K(22528K), 0.000421 secs]
